Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AddLead,Chrome 73.0.3683.103,,2019-04-22 17:58:07,2019-04-22 18:00:30,2m - 23.020s,FAILED
,,,,,,
Test Cases/AddLead,Chrome 73.0.3683.103,,2019-04-22 17:58:07,2019-04-22 17:58:53,45.368s,PASSED
"openBrowser(""https://staging.clickhook.io/login"")",Chrome 73.0.3683.103,,2019-04-22 17:58:08,2019-04-22 17:58:21,13.104s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-22 17:58:21,2019-04-22 17:58:26,5.013s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Chrome 73.0.3683.103,,2019-04-22 17:58:26,2019-04-22 17:58:26,0.300s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_password""), password)",Chrome 73.0.3683.103,,2019-04-22 17:58:26,2019-04-22 17:58:26,0.209s,PASSED
"sendKeys(findTestObject(""Page_Login/input_Log In_password""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-22 17:58:26,2019-04-22 17:58:27,0.111s,PASSED
"click(findTestObject(""Object Repository/Page_All Leads/button_Add a lead""))",Chrome 73.0.3683.103,,2019-04-22 17:58:27,2019-04-22 17:58:30,3.153s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/LeadEmail""), ""newEmail@gmail.com"")",Chrome 73.0.3683.103,,2019-04-22 17:58:30,2019-04-22 17:58:30,0.298s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/AddLeadName""), ""NewName"")",Chrome 73.0.3683.103,,2019-04-22 17:58:30,2019-04-22 17:58:30,0.203s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/Company""), ""New Comapny"")",Chrome 73.0.3683.103,,2019-04-22 17:58:30,2019-04-22 17:58:30,0.247s,PASSED
"setText(findTestObject(""Object Repository/LeadDetails/Phone""), ""200010000"")",Chrome 73.0.3683.103,,2019-04-22 17:58:30,2019-04-22 17:58:31,0.260s,PASSED
"click(findTestObject(""Object Repository/LeadDetails/LeadWorkFlow""))",Chrome 73.0.3683.103,,2019-04-22 17:58:31,2019-04-22 17:58:31,0.138s,PASSED
"click(findTestObject(""Object Repository/LeadDetails/workFlowsNames""))",Chrome 73.0.3683.103,,2019-04-22 17:58:31,2019-04-22 17:58:31,0.178s,PASSED
"click(findTestObject(""Object Repository/LeadDetails/AddButton""))",Chrome 73.0.3683.103,,2019-04-22 17:58:31,2019-04-22 17:58:31,0.131s,PASSED
"verifyElementAttributeValue(findTestObject(""Object Repository/Page_NewName - All Leads/span_New Comapny""), ""text"", ""testb@test.com"", 20)",Chrome 73.0.3683.103,,2019-04-22 17:58:31,2019-04-22 17:58:53,21.404s,PASSED
,,,,,,
Test Cases/AddLead,Chrome 73.0.3683.103,,2019-04-22 17:58:53,2019-04-22 17:59:38,45.452s,FAILED
"openBrowser(""https://staging.clickhook.io/login"")",Chrome 73.0.3683.103,,2019-04-22 17:58:53,2019-04-22 17:59:04,11.326s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-22 17:59:04,2019-04-22 17:59:05,1.143s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Chrome 73.0.3683.103,,2019-04-22 17:59:05,2019-04-22 17:59:05,0.313s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_password""), password)",Chrome 73.0.3683.103,,2019-04-22 17:59:05,2019-04-22 17:59:06,0.179s,PASSED
"sendKeys(findTestObject(""Page_Login/input_Log In_password""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-22 17:59:06,2019-04-22 17:59:06,0.112s,PASSED
"click(findTestObject(""Object Repository/Page_All Leads/button_Add a lead""))",Chrome 73.0.3683.103,,2019-04-22 17:59:06,2019-04-22 17:59:38,32.341s,FAILED
,,,,,,
Test Cases/AddLead,Chrome 73.0.3683.103,,2019-04-22 17:59:38,2019-04-22 18:00:29,50.561s,FAILED
"openBrowser(""https://staging.clickhook.io/login"")",Chrome 73.0.3683.103,,2019-04-22 17:59:38,2019-04-22 17:59:54,16.197s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-22 17:59:54,2019-04-22 17:59:55,1.140s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Chrome 73.0.3683.103,,2019-04-22 17:59:55,2019-04-22 17:59:56,0.245s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_password""), password)",Chrome 73.0.3683.103,,2019-04-22 17:59:56,2019-04-22 17:59:56,0.136s,PASSED
"sendKeys(findTestObject(""Page_Login/input_Log In_password""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-22 17:59:56,2019-04-22 17:59:56,0.069s,PASSED
"click(findTestObject(""Object Repository/Page_All Leads/button_Add a lead""))",Chrome 73.0.3683.103,,2019-04-22 17:59:56,2019-04-22 18:00:29,32.747s,FAILED
